,Journal name,JCR Abbreviation,ISSN,eISSN,Category,Total Citations,2021 JIF,JIF Quartile,2021 JCI,% of OA Gold
194,ADVANCES IN ELECTRICAL AND COMPUTER ENGINEERING,ADV ELECTR COMPUT EN,1582-7445,1844-7600,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE",435,0.825,Q4,0.23,91.10%
195,ADVANCES IN ELECTRICAL AND ELECTRONIC ENGINEERING,ADV ELECTR ELECTRON,1336-1376,1804-3119,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",282,,,0.17,99.14%
196,ADVANCES IN ENZYME REGULATION,ADV ENZYME REGUL,0065-2571,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,706,1.884,Q2,,
197,ADVANCES IN ENZYMOLOGY AND RELATED AREAS OF MOLECULAR BIOLOGY,ADV ENZYMOL RAMB,0065-258X,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,576",,Q4,,
198,ADVANCES IN EXPERIMENTAL MEDICINE AND BIOLOGY,ADV EXP MED BIOL,0065-2598,2214-8019,BIOLOGY - SCIE,"39,567",3.65,Q2,0.71,0.93%
199,ADVANCES IN EXPERIMENTAL SOCIAL PSYCHOLOGY,ADV EXP SOC PSYCHOL,0065-2601,1557-8410,"PSYCHOLOGY, EXPERIMENTAL - SSCI","8,450",7.263,Q1,2.3,0%
201,ADVANCES IN FUZZY SYSTEMS,ADV FUZZY SYST,1687-7101,1687-711X,"MATHEMATICS, APPLIED - ESCI",392,,,0.56,98.11%
202,ADVANCES IN HUMAN BIOLOGY,ADV HUM BIOL,2321-8568,2348-4691,BIOLOGY - ESCI,168,,,0.15,86.90%
203,ADVANCES IN IMMUNOLOGY,ADV IMMUNOL,0065-2776,1557-8445,IMMUNOLOGY - SCIE,"3,160",5.324,Q2,0.4,0%
204,ADVANCES IN MATHEMATICAL PHYSICS,ADV MATH PHYS,1687-9120,1687-9139,"PHYSICS, MATHEMATICAL - SCIE","1,068",1.364,Q3,0.51,99.50%
205,ADVANCES IN MATHEMATICS OF COMMUNICATIONS,ADV MATH COMMUN,1930-5346,1930-5338,"MATHEMATICS, APPLIED - SCIE",583,1.015,Q3,0.41,99.16%
206,ADVANCES IN MECHANICAL ENGINEERING,ADV MECH ENG,1687-8132,1687-8140,"ENGINEERING, MECHANICAL - SCIE","7,469",1.566,Q4,0.35,97.91%
207,ADVANCES IN METHODS AND PRACTICES IN PSYCHOLOGICAL SCIENCE,ADV METH PRACT PSYCH,2515-2459,2515-2467,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","2,016",15.817,Q1,4.65,51.61%
208,ADVANCES IN MICROBIAL PHYSIOLOGY,ADV MICROB PHYSIOL,0065-2911,2162-5468,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,559",4.731,Q2,0.33,0%
210,ADVANCES IN MULTIMEDIA,ADV MULTIMED,1687-5680,1687-5699,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",171,,,0.26,100%
211,ADVANCES IN NANO RESEARCH,ADV NANO RES,2287-237X,2287-2388,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"1,341",9.539,Q1,1.59,0%
212,ADVANCES IN NATURAL SCIENCES-NANOSCIENCE AND NANOTECHNOLOGY,ADV NAT SCI-NANOSCI,2043-6254,2043-6262,NANOSCIENCE & NANOTECHNOLOGY - ESCI,"2,378",,,0.32,0%
213,ADVANCES IN NONLINEAR ANALYSIS,ADV NONLINEAR ANAL,2191-9496,2191-950X,"MATHEMATICS, APPLIED - SCIE","1,113",4.544,Q1,3.86,71.50%
214,ADVANCES IN NUTRITION,ADV NUTR,2161-8313,2156-5376,NUTRITION & DIETETICS - SCIE,"11,979",11.567,Q1,1.48,30.12%
215,ADVANCES IN PHARMACOLOGICAL AND PHARMACEUTICAL SCIENCES,ADV PHARM PHARM SCI,2633-4682,2633-4690,PHARMACOLOGY & PHARMACY - ESCI,71,,,0.42,100%
216,ADVANCES IN PHARMACOLOGICAL SCIENCES,ADV PHARMACOL SCI,1687-6334,1687-6342,PHARMACOLOGY & PHARMACY - ESCI,"1,080",,,0.97,100%
217,ADVANCES IN PHARMACOLOGY AND PHARMACY,ADV PHARMACOL PHARM,2332-0036,2332-0044,PHARMACOLOGY & PHARMACY - ESCI,34,,,0.11,100%
218,ADVANCES IN PHYSICAL ORGANIC CHEMISTRY,ADV PHYS ORG CHEM,0065-3160,2162-5921,"CHEMISTRY, PHYSICAL - SCIE",314,1.143,Q4,0.15,0%
219,ADVANCES IN PHYSIOLOGY EDUCATION,ADV PHYSIOL EDUC,1043-4046,1522-1229,PHYSIOLOGY - SCIE,"2,817",2.396,Q3,0.71,99.61%
221,ADVANCES IN PROTEIN CHEMISTRY,ADV PROTEIN CHEM,0065-3233,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"2,450",5.87,Q1,,
222,ADVANCES IN PROTEIN CHEMISTRY AND STRUCTURAL BIOLOGY,ADV PROTEIN CHEM STR,1876-1623,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"1,457",5.447,Q2,0.47,0%
223,ADVANCES IN QUANTUM CHEMISTRY,ADV QUANTUM CHEM,0065-3276,2162-8815,"CHEMISTRY, PHYSICAL - SCIE",916,1.0,Q4,0.07,0%
224,ADVANCES IN RADIATION ONCOLOGY,ADV RADIAT ONCOL,,2452-1094,ONCOLOGY - ESCI,"1,770",,,0.82,98.98%
226,ADVANCES IN RADIO SCIENCE,ADV RADIO SCI,1684-9965,1684-9973,"ENGINEERING, ELECTRICAL & ELECTRONIC - ESCI",326,,,0.24,100%
227,ADVANCES IN SECOND MESSENGER AND PHOSPHOPROTEIN RESEARCH,ADV SEC MESS PHOSPH,1040-7952,,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,277,0.318,Q4,,
228,ADVANCES IN SKIN & WOUND CARE,ADV SKIN WOUND CARE,1527-7941,1538-8654,DERMATOLOGY - SCIE,"1,871",2.373,Q3,0.84,8.33%
229,ADVANCES IN THEORETICAL AND MATHEMATICAL PHYSICS,ADV THEOR MATH PHYS,1095-0761,1095-0753,"PHYSICS, MATHEMATICAL - SCIE","2,390",1.722,Q2,0.48,0%
230,ADVANCES IN THERAPY,ADV THER,0741-238X,1865-8652,PHARMACOLOGY & PHARMACY - SCIE,"7,146",4.07,Q2,0.77,67.06%
231,ADVANCES IN TRADITIONAL MEDICINE,ADV TRADIT MED,2662-4052,2662-4060,PHARMACOLOGY & PHARMACY - ESCI,312,,,0.44,0.88%
232,ADVANCES IN TRIBOLOGY,ADV TRIBOL,1687-5915,1687-5923,"ENGINEERING, MECHANICAL - ESCI",291,,,0.51,100%
233,ADVANCES IN WOUND CARE,ADV WOUND CARE,2162-1918,2162-1934,DERMATOLOGY - SCIE,"4,318",4.947,Q1,1.28,19.52%
234,AEQUATIONES MATHEMATICAE,AEQUATIONES MATH,0001-9054,1420-8903,"MATHEMATICS, APPLIED - SCIE","1,359",0.984,Q4,0.64,34.32%
235,AEROBIOLOGIA,AEROBIOLOGIA,0393-5965,1573-3025,BIOLOGY - SCIE,"1,964",2.376,Q3,0.5,16.58%
236,AEROSOL SCIENCE AND TECHNOLOGY,AEROSOL SCI TECH,0278-6826,1521-7388,"ENGINEERING, MECHANICAL - SCIE","9,773",4.809,Q1,0.69,16.02%
237,AEROSPACE MEDICINE AND HUMAN PERFORMANCE,AEROSP MED HUM PERF,2375-6314,2375-6322,BIOPHYSICS - SCIE,"1,018",1.051,Q4,0.25,1.89%
239,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,AEU-INT J ELECTRON C,1434-8411,1618-0399,"ENGINEERING, ELECTRICAL & ELECTRONIC - SCIE","7,315",3.169,Q2,0.84,1.33%
240,AFINIDAD,AFINIDAD,0001-9704,2339-9686,"CHEMISTRY, MULTIDISCIPLINARY - SCIE",215,0.354,Q4,0.05,0%
242,AFRICAN JOURNAL OF REPRODUCTIVE HEALTH,AFR J REPROD HEALTH,1118-4841,2141-3606,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,465",0.961,Q4,0.25,0%
243,AFRICAN JOURNAL OF SCIENCE TECHNOLOGY INNOVATION & DEVELOPMENT,AFR J SCI TECHNOL IN,2042-1338,2042-1346,MULTIDISCIPLINARY SCIENCES - ESCI,729,,,0.25,5.25%
244,AGEING RESEARCH REVIEWS,AGEING RES REV,1568-1637,1872-9649,CELL BIOLOGY - SCIE,"10,265",10.895,Q1,1.55,15.51%
246,AGGREGATE,AGGREGATE,,2692-4560,"CHEMISTRY, MULTIDISCIPLINARY - ESCI; CHEMISTRY, PHYSICAL - ESCI",539,,,1.33,94.38%
248,AGGRESSION AND VIOLENT BEHAVIOR,AGGRESS VIOLENT BEH,1359-1789,1873-6335,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","7,643",4.874,Q1,1.17,4.29%
249,AGGRESSIVE BEHAVIOR,AGGRESSIVE BEHAV,0096-140X,1098-2337,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","4,749",3.047,Q2,0.92,17.74%
250,AGING CELL,AGING CELL,1474-9718,1474-9726,CELL BIOLOGY - SCIE,"13,890",9.304,Q1,1.82,100%
252,AGING MALE,AGING MALE,1368-5538,1473-0790,ENDOCRINOLOGY & METABOLISM - SCIE,"1,486",2.398,Q4,0.84,10.99%
253,AGING NEUROPSYCHOLOGY AND COGNITION,AGING NEUROPSYCHOL C,1382-5585,1744-4128,"PSYCHOLOGY, EXPERIMENTAL - SSCI","1,956",2.102,Q3,0.56,10.38%
254,AGING-US,AGING-US,1945-4589,,CELL BIOLOGY - SCIE,"23,196",5.955,Q2,1.06,95.65%
256,AGROCHIMICA,AGROCHIMICA,0002-1857,,"CHEMISTRY, APPLIED - SCIE",257,0.283,Q4,0.07,0%
257,AIDS,AIDS,0269-9370,1473-5571,IMMUNOLOGY - SCIE,"19,905",4.632,Q3,0.83,15.18%
258,AIDS AND BEHAVIOR,AIDS BEHAV,1090-7165,1573-3254,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","14,993",4.852,Q1,1.18,13.57%
259,AIDS CARE-PSYCHOLOGICAL AND SOCIO-MEDICAL ASPECTS OF AIDS/HIV,AIDS CARE,0954-0121,1360-0451,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","7,934",1.887,Q3,0.61,7.30%
261,AIDS EDUCATION AND PREVENTION,AIDS EDUC PREV,0899-9546,1943-2755,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","1,828",1.92,Q4,0.79,0%
262,AIDS PATIENT CARE AND STDS,AIDS PATIENT CARE ST,1087-2914,1557-7449,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,026",5.944,Q1,1.23,6.17%
263,AIDS RESEARCH AND HUMAN RETROVIRUSES,AIDS RES HUM RETROV,0889-2229,1931-8405,IMMUNOLOGY - SCIE,"4,501",1.723,Q4,0.35,6.79%
264,AIDS REVIEWS,AIDS REV,1139-6121,1698-6997,IMMUNOLOGY - SCIE,681,2.381,Q4,0.29,0%
265,AIMS ALLERGY AND IMMUNOLOGY,AIMS ALLERGY IMMUNOL,2575-615X,2575-615X,IMMUNOLOGY - ESCI,28,,,0.07,100%
266,AIMS BIOENGINEERING,AIMS BIOENG,2375-1495,2375-1495,"ENGINEERING, BIOMEDICAL - ESCI",355,,,0.53,95.45%
267,AIMS BIOPHYSICS,AIMS BIOPHYS,2377-9098,2377-9098,BIOPHYSICS - ESCI,358,,,0.26,93.33%
268,AIMS MATHEMATICS,AIMS MATH,,2473-6988,"MATHEMATICS, APPLIED - SCIE","2,495",2.739,Q1,2.13,98.50%
269,AIMS MOLECULAR SCIENCE,AIMS MOL SCI,2372-0301,2372-0301,BIOCHEMISTRY & MOLECULAR BIOLOGY - ESCI,196,,,0.1,100%
270,AIMS NEUROSCIENCE,AIMS NEUROSCI,2373-8006,2373-7972,NEUROSCIENCES - ESCI,265,,,0.22,100%
271,AIP ADVANCES,AIP ADV,,2158-3226,NANOSCIENCE & NANOTECHNOLOGY - SCIE,"18,343",1.697,Q4,0.27,99.45%
272,AJAR-AFRICAN JOURNAL OF AIDS RESEARCH,AJAR-AFR J AIDS RES,1608-5906,1727-9445,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI",751,1.816,Q4,0.41,8.77%
273,AKCE INTERNATIONAL JOURNAL OF GRAPHS AND COMBINATORICS,AKCE INT J GRAPHS CO,0972-8600,2543-3474,"MATHEMATICS, APPLIED - SCIE",355,0.62,Q4,0.52,99.09%
274,AKTUELLE DERMATOLOGIE,AKTUEL DERMATOL,0340-2541,1438-938X,DERMATOLOGY - ESCI,83,,,0.06,0%
275,ALCOHOL,ALCOHOL,0741-8329,1873-6823,PHARMACOLOGY & PHARMACY - SCIE,"3,653",2.558,Q3,0.72,8.25%
276,ALERGIA ASTMA IMMUNOLOGIA,ALERG ASTMA IMMUNOL,1427-3101,1427-3101,IMMUNOLOGY - ESCI,76,,,0.03,0%
277,ALGEBRA AND DISCRETE MATHEMATICS,ALGEBRA DISCRET MATH,1726-3255,1726-3255,"MATHEMATICS, APPLIED - ESCI",165,,,0.1,62.81%
278,ALGEBRA COLLOQUIUM,ALGEBR COLLOQ,1005-3867,0219-1733,"MATHEMATICS, APPLIED - SCIE",523,0.333,Q4,0.25,0%
279,ALGORITHMICA,ALGORITHMICA,0178-4617,1432-0541,"MATHEMATICS, APPLIED - SCIE","2,681",0.909,Q4,0.41,29.45%
280,ALGORITHMS FOR MOLECULAR BIOLOGY,ALGORITHM MOL BIOL,,1748-7188,MATHEMATICAL & COMPUTATIONAL BIOLOGY - SCIE,911,1.721,Q3,0.37,100%
281,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,ALIMENT PHARM THER,0269-2813,1365-2036,PHARMACOLOGY & PHARMACY - SCIE,"27,559",9.524,Q1,1.91,17.76%
282,ALL LIFE,ALL LIFE,2689-5293,2689-5307,MULTIDISCIPLINARY SCIENCES - SCIE,105,1.044,Q4,0.23,99.39%
283,ALLERGOLOGIA ET IMMUNOPATHOLOGIA,ALLERGOL IMMUNOPATH,0301-0546,1578-1267,IMMUNOLOGY - SCIE,"1,784",2.094,Q4,0.31,38.89%
284,ALLERGOLOGY INTERNATIONAL,ALLERGOL INT,1323-8930,1440-1592,IMMUNOLOGY - SCIE,"3,374",7.478,Q2,0.84,100%
285,ALLERGY,ALLERGY,0105-4538,1398-9995,IMMUNOLOGY - SCIE,"27,376",14.71,Q1,2.16,29.60%
286,ALLERGY & RHINOLOGY,ALLERGY RHINOL,2152-6567,2152-6567,OTORHINOLARYNGOLOGY - ESCI,348,,,0.41,97.01%
288,ALLERGY ASTHMA & IMMUNOLOGY RESEARCH,ALLERGY ASTHMA IMMUN,2092-7355,2092-7363,IMMUNOLOGY - SCIE,"2,498",5.096,Q2,0.87,88.89%
289,ALLERGY ASTHMA AND CLINICAL IMMUNOLOGY,ALLERGY ASTHMA CL IM,1710-1492,1710-1492,IMMUNOLOGY - SCIE,"2,345",3.373,Q3,0.47,98.93%
290,ALOMA-REVISTA DE PSICOLOGIA CIENCIES DE L EDUCACIO I DE L ESPORT,ALOMA,1138-3194,2339-9694,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",135,,,0.3,31.25%
291,ALZHEIMER DISEASE & ASSOCIATED DISORDERS,ALZ DIS ASSOC DIS,0893-0341,0893-0341,CLINICAL NEUROLOGY - SCIE,"4,509",2.357,Q4,0.76,4.57%
292,"ALZHEIMER'S & DEMENTIA: DIAGNOSIS, ASSESSMENT & DISEASE MONITORING",ALZH DEMENT-DADM,,2352-8729,NEUROSCIENCES - ESCI,"1,216",,,1.2,98.43%
293,ALZHEIMERS & DEMENTIA,ALZHEIMERS DEMENT,1552-5260,1552-5279,CLINICAL NEUROLOGY - SCIE,"26,516",16.655,Q1,4.11,36.24%
294,ALZHEIMERS & DEMENTIA-TRANSLATIONAL RESEARCH & CLINICAL INTERVENTIONS,ALZH DEMENT-TRCI,,2352-8737,NEUROSCIENCES - ESCI,"1,128",,,1.12,96.50%
295,ALZHEIMERS RESEARCH & THERAPY,ALZHEIMERS RES THER,,1758-9193,CLINICAL NEUROLOGY - SCIE,"7,512",8.831,Q1,1.69,99.57%
297,AMERICAN BEHAVIORAL SCIENTIST,AM BEHAV SCI,0002-7642,1552-3381,"PSYCHOLOGY, CLINICAL - SSCI","8,222",2.531,Q3,1.16,16.45%
298,AMERICAN BIOLOGY TEACHER,AM BIOL TEACH,0002-7685,1938-4211,BIOLOGY - SCIE,972,0.485,Q4,0.16,62.60%
299,AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,AM INDIAN ALASKA NAT,1533-7731,1533-7731,"PSYCHOLOGY, CLINICAL - SSCI",503,1.643,Q4,0.39,94.59%
300,AMERICAN JOURNAL OF ALZHEIMERS DISEASE AND OTHER DEMENTIAS,AM J ALZHEIMERS DIS,1533-3175,1938-2731,CLINICAL NEUROLOGY - SCIE,"3,023",2.632,Q3,0.54,65.16%
301,AMERICAN JOURNAL OF AUDIOLOGY,AM J AUDIOL,1059-0889,1558-9137,OTORHINOLARYNGOLOGY - SCIE,"1,612",1.636,Q4,0.73,7.35%
303,AMERICAN JOURNAL OF CANCER RESEARCH,AM J CANCER RES,2156-6976,2156-6976,ONCOLOGY - SCIE,"9,438",5.942,Q2,0.98,0%
304,AMERICAN JOURNAL OF CARDIOVASCULAR DRUGS,AM J CARDIOVASC DRUG,1175-3277,1179-187X,PHARMACOLOGY & PHARMACY - SCIE,"1,538",3.283,Q3,0.75,14.87%
305,AMERICAN JOURNAL OF CLINICAL AND EXPERIMENTAL IMMUNOLOGY,AM J CLIN EXP IMMUNO,,2164-7712,IMMUNOLOGY - ESCI,306,,,0.26,0%
306,AMERICAN JOURNAL OF CLINICAL DERMATOLOGY,AM J CLIN DERMATOL,1175-0561,1179-1888,DERMATOLOGY - SCIE,"4,907",6.233,Q1,1.86,24.02%
307,AMERICAN JOURNAL OF CLINICAL HYPNOSIS,AM J CLIN HYPN,0002-9157,2160-0562,"PSYCHOLOGY, CLINICAL - SSCI",587,0.694,Q4,0.23,0%
308,AMERICAN JOURNAL OF CLINICAL NUTRITION,AM J CLIN NUTR,0002-9165,1938-3207,NUTRITION & DIETETICS - SCIE,"68,736",8.472,Q1,1.59,31.10%
309,AMERICAN JOURNAL OF CLINICAL ONCOLOGY-CANCER CLINICAL TRIALS,AM J CLIN ONCOL-CANC,0277-3732,1537-453X,ONCOLOGY - SCIE,"5,563",2.787,Q4,0.5,2.21%
310,AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AM J COMMUN PSYCHOL,0091-0562,1573-2770,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","8,773",4.019,Q2,1.21,6.09%
312,AMERICAN JOURNAL OF DANCE THERAPY,AM J DANCE THER,0146-3721,1573-3262,"PSYCHOLOGY, MULTIDISCIPLINARY - ESCI",262,,,0.32,9.52%
313,AMERICAN JOURNAL OF DERMATOPATHOLOGY,AM J DERMATOPATH,0193-1091,1533-0311,DERMATOLOGY - SCIE,"3,733",1.319,Q4,0.46,0.60%
314,AMERICAN JOURNAL OF DRUG AND ALCOHOL ABUSE,AM J DRUG ALCOHOL AB,0095-2990,1097-9891,"PSYCHOLOGY, CLINICAL - SSCI","3,878",3.912,Q2,0.81,5.02%
315,AMERICAN JOURNAL OF EPIDEMIOLOGY,AM J EPIDEMIOL,0002-9262,1476-6256,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","45,157",5.363,Q2,1.46,28.64%
316,AMERICAN JOURNAL OF FAMILY THERAPY,AM J FAM THER,0192-6187,1521-0383,"PSYCHOLOGY, CLINICAL - SSCI","1,033",1.159,Q4,0.35,2.10%
317,AMERICAN JOURNAL OF HEALTH BEHAVIOR,AM J HEALTH BEHAV,1945-7359,,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","3,057",2.006,Q4,0.58,20.16%
318,AMERICAN JOURNAL OF HEALTH EDUCATION,AM J HEALTH EDUC,1932-5037,2168-3751,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI",929,,,0.37,0%
319,AMERICAN JOURNAL OF HEALTH PROMOTION,AM J HEALTH PROMOT,0890-1171,2168-6602,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","4,888",2.956,Q3,0.73,3.49%
320,AMERICAN JOURNAL OF HEALTH-SYSTEM PHARMACY,AM J HEALTH-SYST PH,1079-2082,1535-2900,PHARMACOLOGY & PHARMACY - SCIE,"6,971",2.98,Q3,0.57,5.01%
321,AMERICAN JOURNAL OF HUMAN BIOLOGY,AM J HUM BIOL,1042-0533,1520-6300,BIOLOGY - SCIE,"4,538",2.947,Q2,0.84,8.94%
322,AMERICAN JOURNAL OF HYPERTENSION,AM J HYPERTENS,0895-7061,1941-7225,PERIPHERAL VASCULAR DISEASE - SCIE,"10,567",3.076,Q3,0.57,16.17%
323,AMERICAN JOURNAL OF INDUSTRIAL MEDICINE,AM J IND MED,0271-3586,1097-0274,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","6,804",3.079,Q3,0.69,9.06%
324,AMERICAN JOURNAL OF INFECTION CONTROL,AM J INFECT CONTROL,0196-6553,1527-3296,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","14,187",4.303,Q2,0.82,9.05%
325,AMERICAN JOURNAL OF LIFESTYLE MEDICINE,AM J LIFESTYLE MED,1559-8276,1559-8284,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - ESCI","1,830",,,0.38,2.58%
326,AMERICAN JOURNAL OF MENS HEALTH,AM J MENS HEALTH,1557-9883,1557-9891,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","2,980",2.403,Q3,0.72,95.06%
327,AMERICAN JOURNAL OF NEURORADIOLOGY,AM J NEURORADIOL,0195-6108,1936-959X,NEUROIMAGING - SCIE,"29,851",4.966,Q2,1.06,83.73%
330,AMERICAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,AM J NUCL MED MOLEC,2160-8407,2160-8407,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - ESCI",956,,,0.75,0%
331,AMERICAN JOURNAL OF OPHTHALMOLOGY,AM J OPHTHALMOL,0002-9394,1879-1891,OPHTHALMOLOGY - SCIE,"35,755",5.488,Q1,2.06,10.01%
332,AMERICAN JOURNAL OF OTOLARYNGOLOGY,AM J OTOLARYNG,0196-0709,1532-818X,OTORHINOLARYNGOLOGY - SCIE,"5,177",2.873,Q2,0.98,2.42%
334,AMERICAN JOURNAL OF PHARMACEUTICAL EDUCATION,AM J PHARM EDUC,0002-9459,1553-6467,PHARMACOLOGY & PHARMACY - SCIE,"6,249",2.876,Q3,0.72,96.44%
335,AMERICAN JOURNAL OF PHYSIOLOGY-CELL PHYSIOLOGY,AM J PHYSIOL-CELL PH,0363-6143,1522-1563,PHYSIOLOGY - SCIE,"19,510",5.282,Q1,1.01,6.07%
339,AMERICAN JOURNAL OF PHYSIOLOGY-ENDOCRINOLOGY AND METABOLISM,AM J PHYSIOL-ENDOC M,0193-1849,1522-1555,PHYSIOLOGY - SCIE,"23,311",5.9,Q1,1.34,6.07%
342,AMERICAN JOURNAL OF PHYSIOLOGY-GASTROINTESTINAL AND LIVER PHYSIOLOGY,AM J PHYSIOL-GASTR L,0193-1857,1522-1547,PHYSIOLOGY - SCIE,"18,067",4.877,Q1,1.03,3.79%
344,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,AM J PHYSIOL-HEART C,0363-6135,1522-1539,PHYSIOLOGY - SCIE,"32,717",5.125,Q1,1.16,3.40%
347,AMERICAN JOURNAL OF PHYSIOLOGY-LUNG CELLULAR AND MOLECULAR PHYSIOLOGY,AM J PHYSIOL-LUNG C,1040-0605,1522-1504,PHYSIOLOGY - SCIE,"18,102",6.011,Q1,1.44,6.60%
349,AMERICAN JOURNAL OF PHYSIOLOGY-REGULATORY INTEGRATIVE AND COMPARATIVE PHYSIOLOGY,AM J PHYSIOL-REG I,0363-6119,1522-1490,PHYSIOLOGY - SCIE,"20,728",3.21,Q2,0.95,3.31%
351,AMERICAN JOURNAL OF PHYSIOLOGY-RENAL PHYSIOLOGY,AM J PHYSIOL-RENAL,1931-857X,1522-1466,PHYSIOLOGY - SCIE,"19,034",4.097,Q2,1.07,3.19%
353,AMERICAN JOURNAL OF PREVENTIVE MEDICINE,AM J PREV MED,0749-3797,1873-2607,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","30,469",6.604,Q1,1.6,14.23%
354,AMERICAN JOURNAL OF PSYCHOLOGY,AM J PSYCHOL,0002-9556,1939-8298,"PSYCHOLOGY, MULTIDISCIPLINARY - SSCI","3,651",1.059,Q4,0.29,0%
355,AMERICAN JOURNAL OF PSYCHOTHERAPY,AM J PSYCHOTHER,0002-9564,2575-6559,"PSYCHOLOGY, CLINICAL - ESCI",845,,,0.94,0%
356,AMERICAN JOURNAL OF PUBLIC HEALTH,AM J PUBLIC HEALTH,0090-0036,1541-0048,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE; PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SSCI","54,930",11.561,Q1,1.96,0%
357,AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,AM J REPROD IMMUNOL,1046-7408,1600-0897,IMMUNOLOGY - SCIE,"7,510",3.777,Q3,0.83,10.64%
358,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,AM J RESP CELL MOL,1044-1549,1535-4989,BIOCHEMISTRY & MOLECULAR BIOLOGY - SCIE,"5,770",3.997,Q1,,
361,AMERICAN JOURNAL OF RHINOLOGY & ALLERGY,AM J RHINOL ALLERGY,1945-8924,1945-8932,OTORHINOLARYNGOLOGY - SCIE,"4,352",2.3,Q3,0.96,3.29%
363,AMERICAN JOURNAL OF ROENTGENOLOGY,AM J ROENTGENOL,0361-803X,1546-3141,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING - SCIE","42,199",6.582,Q1,1.52,0.65%
364,AMERICAN JOURNAL OF SPEECH-LANGUAGE PATHOLOGY,AM J SPEECH-LANG PAT,1058-0360,1558-9110,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY - SCIE,"4,819",4.018,Q1,1.82,5.89%
365,AMERICAN JOURNAL OF STEM CELLS,AM J STEM CELLS,2160-4150,2160-4150,CELL BIOLOGY - ESCI,286,,,0.28,0%
366,AMERICAN JOURNAL OF THERAPEUTICS,AM J THER,1075-2765,1536-3686,PHARMACOLOGY & PHARMACY - SCIE,"2,302",3.098,Q3,0.52,1.71%
367,AMERICAN JOURNAL OF TRANSLATIONAL RESEARCH,AM J TRANSL RES,1943-8141,1943-8141,ONCOLOGY - SCIE,"12,495",3.94,Q3,0.77,0%
368,AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE,AM J TROP MED HYG,0002-9637,1476-1645,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH - SCIE","28,341",3.707,Q2,1.01,18.44%
